COUNTRIES,autocratic,autonomous,self_protective,HDI,GERD,RQ,patents,population,PPT,CEE
Albania,3.390138889,3.984722222,4.617954053,0.789,0.120845,0.22,39,2811666,0.01387078,yes
Algeria,NA,NA,NA,0.745,0.254643,-1.18,281,44177969,0.006360636,no
Andorra,NA,NA,NA,0.884,0,1.36,27,79034,0.341625123,no
Angola,NA,NA,NA,0.591,0.03229,-1.04,0,34503774,0,no
Argentina,2.231481481,4.549019608,3.451330584,0.849,0.529351,-0.7,717,45808747,0.015652033,no
Armenia,NA,NA,NA,0.786,0.231464,0.24,106,2790974,0.037979573,no
Australia,2.278003876,3.945494186,3.048148552,0.946,2.093611,1.81,12825,25685412,0.499310659,no
Austria,1.896844181,4.473865878,3.066398231,0.926,2.818712,1.45,13472,8955797,1.504277062,no
Azerbaijan,NA,NA,NA,0.76,0.206301,-0.37,338,10137750,0.033340731,no
Bahrain,NA,NA,NA,0.888,0.10116,0.69,17,1463265,0.011617855,no
Bangladesh,NA,NA,NA,0.67,0,-0.92,91,169356251,0.000537329,no
Belarus,NA,NA,NA,0.801,0.615159,-1.17,1118,9302585,0.120181648,yes
Belgium,NA,NA,NA,0.942,2.383226,1.28,13966,11586195,1.205400047,no
Belize,NA,NA,NA,0.7,0,-0.44,21,400031,0.052495932,no
Benin,NA,NA,NA,0.504,0,-0.46,171,12996895,0.013156989,no
Bhutan,NA,NA,NA,0.681,0,-0.71,0,777486,0,no
Bolivia,2.791419142,3.918300654,3.825543136,0.698,0.157,-0.89,6,12079472,0.00049671,no
Bosnia and Herzegovina,NA,NA,NA,0.779,0.150684,-0.14,64,3270943,0.019566223,yes
Botswana,NA,NA,NA,0.708,0.453817,0.62,4,2588423,0.001545342,no
Brazil,1.929024081,2.265209125,3.493484276,0.76,1.145503,-0.03,6909,214326223,0.032235906,no
Brunei,NA,NA,NA,0.829,0.28,0.96,5,445373,0.011226545,no
Bulgaria,NA,NA,NA,0.799,0.639479,0.61,466,6877743,0.067754785,yes
Burkina Faso,NA,NA,NA,0.438,0.229059,-0.4,85,22100683,0.003846035,no
Cambodia,NA,NA,NA,0.6,0.11823,-0.52,0,16589023,0,no
Cameroon,NA,NA,NA,0.587,0,-0.84,1074,27198628,0.039487286,no
Canada,1.892671855,3.646562905,2.95511833,0.935,1.796784,1.69,26525,38239864,0.693647864,no
Central African Republic,NA,NA,NA,0.387,0,-1.32,17,5457154,0.003115177,no
Chad,NA,NA,NA,0.394,0.3005,-1.12,51,17179740,0.002968613,no
Chile,NA,NA,NA,0.86,0.357926,1.37,930,19493184,0.047708984,no
China,2.662291667,4.067708333,3.797752456,0.788,1.85001,-0.3,1538604,1412360000,1.089385143,no
Colombia,2.443333333,3.335928489,3.366750213,0.758,0.239199,0.26,692,51516562,0.013432573,no
Congo,NA,NA,NA,0.593,0.4149,-1.26,71,5835806,0.012166271,no
Costa Rica,2.456086957,3.457246377,3.547790782,0.806,0.433143,0.55,130,5153957,0.025223338,no
Croatia,NA,NA,NA,0.878,0.884654,0.41,304,3878981,0.078371098,yes
